age,birthDayOfMonth,birthMonth,birthYear,bustSize,class,cupSize,height,hipSize,name,waistSize,weight,voiceBy
23,25,5,1996,86.0,class FemaleRealTalent,E,163.0,89.0,依東杏奈,64.0,53.0,
43,6,10,1976,102.0,class FemaleRealTalent,F,173.0,91.0,リサ・スパークス,76.0,63.0,
36,24,10,1983,86.0,class FemaleRealTalent,E,163.0,85.0,松浦舞依,57.0,42.0,
31,21,3,1988,81.0,class FemaleRealTalent,C,168.0,89.0,ブルック・リマ,64.0,52.0,
39,16,9,1980,86.0,class FemaleRealTalent,C,178.0,89.0,アンカ・ロメンスキー,58.0,57.0,
39,24,9,1980,83.0,class FemaleRealTalent,B,157.0,83.0,サブリン・マウイ,58.0,45.0,
47,1,9,1972,86.0,class FemaleRealTalent,D,168.0,84.0,クリスタル・サマーズ,61.0,48.0,
39,22,6,1980,86.0,class FemaleRealTalent,B,160.0,86.0,ジェイド・マルセラ,64.0,41.0,
25,31,3,1994,81.0,class FemaleRealTalent,B,180.0,86.0,ジェーニャ・カタバ,58.0,55.0,
22,8,3,1997,88.0,class FemaleRealTalent,F,163.0,85.0,白倉あや,58.0,42.0,
34,14,8,1985,86.0,class FemaleRealTalent,C,157.0,84.0,アシュリン・ブルック,58.0,48.0,
38,1,11,1981,86.0,class FemaleRealTalent,B,173.0,86.0,マリー・ラヴ,61.0,61.0,
28,18,4,1991,83.0,class FemaleRealTalent,D,158.0,85.0,坂井伊織,56.0,42.0,
43,20,3,1976,116.0,class FemaleRealTalent,G,163.0,86.0,クリスタル・ガンズ,66.0,55.0,
45,30,3,1974,81.0,class FemaleRealTalent,C,149.0,82.0,岡崎結由,56.0,38.0,
26,16,1,1994,95.0,class FemaleRealTalent,H,163.0,93.0,夏来唯,70.0,58.0,
32,22,11,1987,107.0,class FemaleRealTalent,H,173.0,97.0,ラタヤ・ロックス,71.0,62.0,
48,23,3,1971,86.0,class FemaleRealTalent,C,173.0,86.0,カレン・マクドゥーガル,61.0,57.0,
44,1,3,1975,94.0,class FemaleRealTalent,E,163.0,86.0,カミ・アンドリュー,64.0,55.0,
25,2,2,1995,83.0,class FemaleRealTalent,B,158.0,88.0,仲村まひろ,58.0,45.0,
38,11,2,1982,81.0,class FemaleRealTalent,B,163.0,86.0,ステファニー・サドッラ,58.0,45.0,
65,15,3,1954,89.0,class FemaleRealTalent,D,173.0,89.0,ナンシー・キャメロン,58.0,54.0,
26,22,1,1994,86.0,class FemaleRealTalent,E,154.0,85.0,えなこ,59.0,43.0,
29,19,5,1990,92.0,class FemaleRealTalent,G,174.0,88.0,安久澤ユノ,60.0,58.0,
36,10,1,1984,99.0,class FemaleRealTalent,G,172.0,96.0,マリア・スワン,65.0,54.0,
28,15,7,1991,88.0,class FemaleRealTalent,G,157.5,80.0,藤井しおり,52.0,38.0,
32,20,5,1987,91.0,class FemaleRealTalent,E,170.0,91.0,サーシャ・ボロニワ,69.0,58.0,
30,28,12,1989,81.0,class FemaleRealTalent,C,160.0,88.0,桜井ルカ,60.0,48.0,
